text,label
"Congratulations! You have won a FREE iPhone. Click here to claim now!",spam
"URGENT: Your bank account has been compromised. Verify immediately!",spam
"Free money! Make $5000 a week working from home. No experience needed.",spam
"You are selected for a $1000 gift card. Act now before it expires!",spam
"Hot singles in your area are waiting. Click here to meet them tonight!",spam
"Lose 30 pounds in 30 days with this miracle pill. Buy now!",spam
"Your PayPal account is limited. Click to restore access immediately.",spam
"Earn easy cash online. Guaranteed income from home jobs.",spam
"Dear winner, you have been chosen. Send your details to claim prize.",spam
"LIMITED OFFER: Cheap medication shipped fast. No prescription needed.",spam
"Increase your credit score instantly. Apply for our guaranteed loan.",spam
"You owe back taxes. Call immediately to avoid arrest.",spam
"Buy cheap Viagra online. Discreet shipping worldwide.",spam
"We detected unusual sign-in activity. Update your password now!",spam
"FINAL NOTICE: Your subscription has expired. Click to renew.",spam
"Investment opportunity: 300% returns guaranteed. Act fast!",spam
"Claim your inheritance funds. Reply with your bank details.",spam
"You have a pending package. Pay $2 delivery fee to release it.",spam
"Nigerian prince needs your help to transfer $10 million.",spam
"Alert: Your account will be deleted. Confirm your information now.",spam
"Exclusive deal just for you! Shop now and save 90%.",spam
"Work from home and earn thousands per week guaranteed!",spam
"Your computer is infected! Download our antivirus software now.",spam
"Get rich quick with our crypto trading bot. Guaranteed profits!",spam
"Congratulations, you are our lucky customer! Claim your reward.",spam
"Hi John, can we schedule the project meeting for Thursday at 3pm?",ham
"Please find attached the quarterly report for your review.",ham
"Reminder: Team standup is at 10am tomorrow in conference room B.",ham
"Could you please send me the updated budget spreadsheet?",ham
"Looking forward to seeing you at the conference next week.",ham
"I have reviewed the document and left comments in the margin.",ham
"Your package has been shipped and will arrive by Friday.",ham
"Can we reschedule our one-on-one to next Monday?",ham
"Please review the pull request I submitted for the login module.",ham
"The client approved the proposal. We can start onboarding them.",ham
"Happy birthday! Hope you have a wonderful day.",ham
"Attached is the invoice for last month's services.",ham
"Let me know if you need any clarification on the report.",ham
"The server maintenance is scheduled for Saturday night at midnight.",ham
"Great work on the presentation today. The client was impressed.",ham
"Please confirm your attendance for the training session on Wednesday.",ham
"I will be out of office from Monday to Wednesday next week.",ham
"The new policy document has been uploaded to the shared drive.",ham
"Can you share the meeting notes from yesterday's session?",ham
"Your subscription renewal is due next month. No action needed now.",ham
"Thank you for your application. We will review it and get back to you.",ham
"The annual performance review forms are due by end of this month.",ham
"I enjoyed our conversation. Let us stay in touch.",ham
"Please find the updated agenda for tomorrow's board meeting.",ham
"Congratulations on your promotion! Well deserved.",ham
